cod_municipio;cod_unico_endereco;num_quadra;nom_logradouro;num_endereco;nom_logradouro_adjacente;dim_testada;dim_profundidade
4104501;4104501.119661-0;4104501.119661-0; RUA DA GOIABEIRA;518;;10;20
4104501;4104501.11967-1;4104501.11967-1; RUA MINAS GERAIS;367;;10;20
4104501;4104501.119679-0;4104501.119679-0; RUA DA GOIABEIRA;530;;10;20
4104501;4104501.119687-0;4104501.119687-0; RUA DA GOIABEIRA;544;;10;20
4104501;4104501.119695-0;4104501.119695-0; RUA DA GOIABEIRA;560;;10;20
4104501;4104501.119709-0;4104501.119709-0; RUA DA GOIABEIRA;574;;10;20
4104501;4104501.119717-1;4104501.119717-1; RUA DA GOIABEIRA;617;;10;20
4104501;4104501.119725-0;4104501.119725-0; RUA DA GOIABEIRA;635;;10;20
4104501;4104501.119733-0;4104501.119733-0; RUA DA GOIABEIRA;623;;10;20
4104501;4104501.119741-0;4104501.119741-0; RUA DA GOIABEIRA;611;;10;20
4104501;4104501.11975-1;4104501.11975-1; RUA MINAS GERAIS;353;;10;20
4104501;4104501.119750-0;4104501.119750-0; RUA DA GOIABEIRA;599;;10;20
4104501;4104501.119768-0;4104501.119768-0; RUA TIBIRICA;107;;10;20
4104501;4104501.119776-1;4104501.119776-1; RUA TIBIRICA;99;;10;20
4104501;4104501.119776-2;4104501.119776-2; RUA TIBIRICA;99;;10;20
4104501;4104501.119784-0;4104501.119784-0; RUA DA GOIABEIRA;571;;10;20
4104501;4104501.119792-0;4104501.119792-0; RUA DA GOIABEIRA;555;;10;20
4104501;4104501.1198-1;4104501.1198-1; AV. INDEPENDENCIA ;1520>;;10;20
4104501;4104501.1198-3;4104501.1198-3; AV. INDEPENDENCIA ;1520>;;10;20
4104501;4104501.119806-0;4104501.119806-0; RUA DA GOIABEIRA;541;;10;20
